Time,Time Code,Country Name,Country Code,Gini index [SI.POV.GINI],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",People using safely managed sanitation services (% of population) [SH.STA.SMSS.ZS],"Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]","Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],Poverty gap at $2.15 a day (2017 PPP) (%) [SI.POV.GAPS],Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Income share held by lowest 20% [SI.DST.FRST.20],Income share held by highest 10% [SI.DST.10TH.10],"Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Population, total [SP.POP.TOTL]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]"
2017,YR2017,Afghanistan,AFG,..,63.016,0.245,..,..,..,66,0.03,189,97.7,0.281195815732375,25.25,54.6485411587937,13.5,5.129,1.5,..,..,..,..,..,8.20247173309326,35643418,37.342
2017,YR2017,Albania,ALB,33.1,79.047,..,46.0648643883438,91.7005386352539,..,99,0.03,20,99.89,1.88055711291312,59.383,104.870693430657,62.4,1.491,..,0,0.4,23.4,7.6,24.6,10.5701904296875,2873457,10.87
2017,YR2017,Algeria,DZA,..,75.743,..,62.4295991441614,..,..,91,0.05,70,99.5300216674805,3.83368112626665,72.052,17.2716286111714,47.69105515,3.05,..,..,..,..,..,..,17.5560722351074,41136546,24.755
2017,YR2017,American Samoa,ASM,..,..,..,37.0619018177014,..,..,..,..,12,..,..,87.17,247.315,..,..,..,..,..,..,..,..,..,49463,16.6
2017,YR2017,Andorra,AND,..,..,..,100,99.2702178955078,..,99,..,1.6,100,6.30209786421442,88.15,157.1,91.56746703,..,..,..,..,..,..,..,8.97799968719482,73837,..
2017,YR2017,Angola,AGO,..,61.68,0.212,..,..,..,56,0.8,359,42.9062423706055,0.829723216824015,64.839,24.2308719018208,26,5.6,..,..,..,..,..,..,6.7637767791748,30208628,40.81
2017,YR2017,Antigua and Barbuda,ATG,..,78.268,2.898,..,..,..,95,..,1.3,100,5.48842722154545,24.713,207.088636363636,..,1.485,..,..,..,..,..,..,7.60233497619629,91119,11.789
2017,YR2017,Argentina,ARG,41.1,76.833,3.979,..,89.0937576293945,..,86,0.13,27,100,4.07011168693629,91.749,16.0941907925267,74.29490687,2.168,..,0.2,0.4,25.7,5.1,29.7,13.2639198303223,44044811,16.206
2017,YR2017,Armenia,ARM,33.6,74.906,4.546,11.1676834263052,87.5886764526367,99.7360687255859,94,..,36,99.7,1.88339587008485,63.103,100.17291886196,64.74488433,1.562,..,0.1,0.8,..,8.4,28.4,8.89112567901611,2851923,13.606
2017,YR2017,Aruba,ABW,..,75.903,..,..,..,..,..,..,8.7,100,..,43.293,585.772222222222,97.17,1.839,..,..,..,..,..,..,..,105439,11.53
