X,Y,PROGRAM,WARD,ORG,ADDRESS,CITY,STATE,ZIPCODE,PHONE,HOURS,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE
-76.9904814993107,38.9440238596108,Treatment Center,Ward 5,Providence Hospital Outpatient Addiction Services,"1150 Varnum St NE, St. Catherine Hall, Room 204",Washington,DC,20017,(202) 854-7222, Monday - Friday 8:30 am - 4:30 pm,temp_20,{F278C5CF-A4D0-445B-BAFA-2AF166C432C3},,,,,1,289609,400825.36,141791.5,38.94401606,-76.990479
-77.0236643918039,38.9320472118436,Needle Exchange,Ward 1,Needle Exchange Mobile Unit,"Georgia Avenue and Morton Street, NE
",Washington,DC,20010,(202) 253-5712,Thursday 9:30 am - 11:30 am,temp_32,{87C78CE1-73E7-490E-AEF5-6D74345D40ED},,,,,2,904356,397948.379996,140462.210016,38.93203975,-77.0236621
-77.0330325451969,38.9281774913359,Treatment Center,Ward 1,Unity Health Care Upper Cardoza Health Clinic,"3020 14th Street, NW",Washington,DC,20009,(202) 745-4300,Monday - Friday  8 am - 10 pm,temp_6,{66191F1F-2593-4EC9-A88B-AD5B213D5121},,,,,3,242939,397135.96,140032.89,38.92817003,-77.03303025
-76.9893549498708,38.9216876682283,Treatment Center,Ward 5,Unity Health Care Brentwood Square Health Clinic,"1251-B Saratoga Avenue, NE",Washington,DC,20018,(202) 610-7160,Monday-Friday 8 am - 10 pm,temp_3,{152B9692-7A73-41B1-B853-BEA8B388A9D6},,,,,4,69666,400923.31,139312,38.92168021,-76.98935267
-77.0438362401721,38.9214956198766,Narcan Locations,Ward 1,Kalorama Pharmacy,1841 Columbia Rd NW,Washington,DC,20009, 202-795-9711,"Monday – Friday 8 AM – 6 PM; Saturday & Sunday – Closed",temp_37,{2A85DF4E-239F-40FD-BC9A-32DB38897EBA},,,,,5,235380,396198.82,139291.54,38.92148816,-77.04383394
-77.0398084009067,38.9209801636915,Treatment Center,Ward 1,Mary's Center,"2333 Ontario Road, NW",Washington,DC,20009,(202) 545-8047,"Mon Wed Fri Sat 8 am – 6 pm; Tues & Thurs 8 am",temp_16,{86BE4B1C-EF1C-4D72-9EB0-2D6F85717A57},,,,,6,284370,396548.08,139234.16,38.92097271,-77.0398061
-77.0206691678952,38.920887646479,Treatment Center,Ward 1,Howard University Mental Health Clinic,530 College Street NW,Washington,DC,20059,(202) 865-6611,"Monday - Wednesday, and Friday 8:30 am - 4:30 pm",temp_8,{160AB00B-FC27-470E-9F49-02C004BF63E6},,,,,7,291440,398207.8,139223.34,38.92088019,-77.02066688
-77.04048648097,38.9193952757346,Treatment Center,Ward 1,Community of Hope - Marie Reed Health and Resourc*,"2155 Champlain Street, NW",Washington,DC,20009,(202) 540-9857,"Monday - Friday 9 am - 5 pm; Wednesday until 8 pm",temp_13,{D15736F4-C905-446C-B1CC-6705B8302C74},,,,,8,316200,396489.2,139058.25,38.91938749,-77.04048418
-77.0209226514137,38.917810266165,Treatment Center,Ward 1,Howard University Hospital Department of Psychiat*,"2041 Georgia Ave., NW 5th Floor Suite 5B",Washington,DC,20060,(202) 865-6611,Monday - Friday 8:30 am - 5 pm (Appointment Only),temp_9,{E3C67D7A-8077-4813-AB88-87D6D8974055},,,,,9,279523,398185.74,138881.73,38.91780248,-77.02092036
-77.0209226514137,38.917810266165,Treatment Center,Ward 1,Howard University Hospital Towers Building Commun*,"2041 Georgia Ave., NW Suite 3200",Washington,DC,20060,(202) 865-4440,Wednesday 1 pm - 4:30 pm,temp_7,{543A3F5C-37FE-44D7-9587-CAD4B62FE008},,,,,10,279523,398185.74,138881.73,38.91780248,-77.02092036
